author,time,urls,votes,text_clean,polarity_score,polarity,sentiment
Dewi Calista,3 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,alamtnya,0,neutral,2
Utamai Rahmadani,3 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,yeny le iyapek,0,neutral,2
Tawfik Istar,3 tahun yang lalu,https://youtu.be/a7c8BArQs-s,1,tidak alamat dokter di jakarta timur,0,neutral,2
blackpink blackping,3 tahun yang lalu,https://youtu.be/a7c8BArQs-s,1,pasang behel juta murah mahal,8,positive,1
Wiwik Agustin,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,dokter gigi pasang juta bagus tidak ya,8,positive,1
Wenny Putri,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,5,pakai mb youtuber harga sp ortho sharing alam psg behel dokter gigi aneh tratmentnya gigi kikir space alhasil gigi bagus rusak hasil tidak sempurna pasang dokter gigi spesialis ortho baik bentuk gigi jumping moga tidak lama surat pemberitahuan tahun dokter gigi,31,positive,1
Ce ifaaa,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,iya dokter tidak pintar sayang duit gue sebal,0,neutral,2
Ce ifaaa,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,spesialis,4,positive,1
Kiki Marimar,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,klinik gigi sp ortho kadang promonya tukang gigi buka bagus rusak buang duit,-1,negative,0
Fathor Rosyi,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,2,iya gigi tidak rapi nanyak kak harga behel dokter,3,positive,1
Elga 123,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,5,mahal jamin soala dokter gigi pergi pas pasang behel pas gigi tambal lema tidak kuat lepas dadak doktera hilang pindah dokter gigi hilang sok cari dokter kenal bagus kerja menangami,1,positive,1
Jasinta Ekamaya,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,lokasi dokter di mana mbak pasang behel,4,positive,1
pesek mbk kholis,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,sikat gigi tidak mbak,0,neutral,2
pesek mbk kholis,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,1,tidak bisa rusak to mbak gigi rapi mbak,0,neutral,2
Jessica Charis,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,oke k behelan,2,positive,1
Enggar R C,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,dokter gigi recomended bagus pasang behel daerah sbysidoarjo,6,positive,1
Enggar R C,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,6,pasang behel juta dokter gigi sportho seminguan pasang review pasien bagus lihat was was,15,positive,1
Arlisa Putri Dewanti,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,yeny le terima kasih kak infony,5,positive,1
ayu lestari,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,pasang mingu was was pasang juta,10,positive,1
Umi Maya Syarofah_XII MIPA 1_32,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,tidak bagaimana kak,0,neutral,2
Enggar R C,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,3,maya syarofahxi mipa semingu gigi nyut gigi cabut ubah tak tau next kontrol semingu behel aman copot bracketnya makan mie nasi bungkus ikan tidak kenapa alhamdulillah,-2,negative,0
Adorable Cattos,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,1,saran pasang tak tau pasang di mana audy dental promo tangan spesialis enak deh nyaman dokter komunikatif pasang di situ,24,positive,1
Umi Maya Syarofah_XII MIPA 1_32,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,1,catos biaya kak audy dental,0,neutral,2
Aida Indrasari,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,blackping murah daerahqu juta pasang dokter gigi spesialis ortho juta juta,15,positive,1
arif bockarsi,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,2,gue rawa tidak tertawa lepas foto diam sumph tidak nyamn pasang begel tidak punya uang orang tua tidak punya gue sekolah sekolh ejek gigi monyong sunguh sakit rasanyamoga orang bantu pasang behel amin yaloh,0,neutral,2
E  chennal ARDI,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,nama sitimasitoh,0,neutral,2
wahyuni ningsih,2 tahun yang lalu (diedit),https://youtu.be/a7c8BArQs-s,1,maya syarofahxi mipa pasang spesialis ortho kena hubung promo angsur murah bracket lembut nyaman tidak pakai sariawan,12,positive,1
Umi Maya Syarofah_XII MIPA 1_32,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,ningsih kak,0,neutral,2
Yanti Suryanti,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,ningsih daerah kak untung,2,positive,1
Taufiq Syayid Muhamad,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,pakai behel gigi doang tidak ya,0,neutral,2
wahyuni ningsih,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,maya syarofahxi mipa iya kak,0,neutral,2
wahyuni ningsih,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,suryanti daerah pakuwon,0,neutral,2
jeunk azzma,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,kak behel jtan kak,0,neutral,2
one sukowati,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,1,ger pasang audy habis kak,4,positive,1
Galaxy Orthodontic Center,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,moga warganetnetizen cerah komentar kakak,1,positive,1
Nurul Fitriani,1 tahun yang lalu (diedit),https://youtu.be/a7c8BArQs-s,0,pasang spkg kak spesialis ortho konser gigi hasil bagus le,13,positive,1
Jepri Pratama,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,tidak di daerah palembang dokter gigi ortho bagus,2,positive,1
wirda Haa,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,nama kakak,0,neutral,2
Afi,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,dokter gigi tpbukan spesialis ortho,4,positive,1
jayn j,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,1,kak kak ubah muas pasang bingung dokter bingung budget ortho dokter,9,positive,1
Yarhamii,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,rapi kakak,1,positive,1
Yarhamii,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,k dokter dental gigi pasang behel tangan dokter kak jglegal tidak sih,5,positive,1
Dzikri Arya,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,zahra jgv,0,neutral,2
milla Jojo,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,mahal mbak,1,positive,1
Septa Danumarta,10 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,rosyi hem,0,neutral,2
Tuti Lestari,10 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,ningsih maf deh alamat di mana pasang behely,4,positive,1
wahyuni ningsih,10 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,lestari ruko pakuwon town square blok a,4,positive,1
wong medokk,10 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,bockarsi nasib surat pemberitahuan tahun sekolah,3,positive,1
Olivialaaa,8 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,iya,0,neutral,2
no name,7 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,maf pasang behel metal konvensional juta masuk wajar tidak kak coba takut abal abal,2,positive,1
no name,7 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,hasil kak,3,positive,1
Enggar R C,7 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,alhamdulillah rapi kak lepas butuh kurleb lepas tak tau pipi chuby keliatas tirus rahang geser kali bentuk muka ubah,-3,negative,0
Enggar R C,7 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,nama klinik beyoutiful siwalankerto dokter gigi rizka klinik tutup semenjak corona langsung praktik dokter gigi rizka ketintang susilo bambang yudhoyono,1,positive,1
tanos sudibjo,7 bulan yang lalu (diedit),https://youtu.be/a7c8BArQs-s,0,kak perubahanya pasang behel hari ini dokter gigi,4,positive,1
Rizky Riska,5 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,orang surabaya kak by the way nama klinik kak,0,neutral,2
Calico's Mom,4 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,bockarsi coba universitas fakultas dokter gigi mahasiswamahasiswa fkg butuh pasien baik gigi pasang bracket,3,positive,1
Christina Maria,3 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,jugamau pasal behel kumpul duit,-4,negative,0
Ayu,2 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,mom oi bagus tidak kak,2,positive,1
Dewi Herlina,1 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,catos lokasi kakak,0,neutral,2
zhie hie,1 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,haloho tidak salah doter gigi kak salah tukang gigi kakak,-6,negative,0
far fau,3 minggu yang lalu,https://youtu.be/a7c8BArQs-s,0,tidak amdc ocean dental masuk dokter orthodonti,0,neutral,2
Molita Lin,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,haha luv,0,neutral,2
Nelly Indhama,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,link make up tutor kak youtube ci moly vlog make up tutor tidak tau vlognya lok make up vlog,0,neutral,2
Vivien Gracia,4 tahun yang lalu (diedit),https://youtu.be/a7c8BArQs-s,0,halo pakai behel pergi gigi belah gigi taring pas cabut gigi geraham gigi total kakak tidak atau gigi blakangnya tidak operasi,-8,negative,0
Indahsawi & hanapi,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,vivien gracia pakai behel pergi gigi tahap gigi di atas lepas behel rapi cepat lepas gigi numbuh sakit operasi biaya dokter gigi saran dokter bedah mulut dokter bedahmulut behel biaya lumayan gigi juta kayak mesti pergi gigi bungsu menang uang operasi total pakai behel gigi deh pergi,-23,negative,0
Vivien Gracia,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,o iya tahap gigi haha kakak cabutoperasi gigi bungsu,-3,negative,0
Indahsawi & hanapi,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,vivien gracia operasi tahap ronsen biaya mahal orang tua awam heran harga pergi gigi doang jutan,4,positive,1
Nida shohwatul islam,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,odol ciptadent,0,neutral,2
iLvy SoMuch,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,situ terkadang sedih,-2,negative,0
Rucelia Michiko R. Piri,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,7,prevy anirtha tuju kali pilih perhati mol menyingung profesi maf masuk,-3,negative,0
Molita Lin,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,19,haha iya terima kasih ngoreksi tidak maksud menyingung,5,positive,1
lisrose jenso,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,2,tuju masuk fkg sulit lulus dokter gigi sulit maki dokter kurang pintar bahasa kasar ci jujur gue jawat tersingung,-2,negative,0
Prevy,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,3,zhizi rukun warga iya me to moga next muat baik molita ajar topik bahasa muat konten tonton video salah presepsi moga chanel tulis klarifikasi komendescription box,-11,negative,0
salehati dewi,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,prevy anirtha dokter gigi wa hebat,0,neutral,2
Ardini Safitri,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,11,knyatanya korbanya,0,neutral,2
Prevy,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,6,ardini safitri lihat reply komen lai km maksud ahli gigitukang gigi kapok tukang gigi tidak pernah tempuh didik dokter gigi basic awat tidak mumpuni alat standar awat diagnosaprognosa awat next awat langsung dokter gigi behelfixed orthodontic baik dokter gigi specialis orthodontic lo korban tukang gigiahli gigi dokter gigi cek instagram moga bantu,14,positive,1
Ardini Safitri,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,38,prevy anirtha maksud dokter gigi dokter oke kurang oke didik almamater kmampuan pnglman tap beda,2,positive,1
Az Zahra,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,34,titel dokter dokter gigi pintar bukti malpraktik dan bagai indonesia masuk ptn pakai jalur teman angkat gue masuk jalur gue anak fkg kadang temu teman kadang gue pikir anak lolos sbm universitas gue masuk top indonesia kemarin pas ketemu anak fk fk fkg salah ptn akreditasi fakultas orang tigatiganya tidak ada tensi darah bayang semster tidak bisa tensi darah kayak ajar semester,-16,negative,0
Prevy,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,3,namjo kim iya di sini lurus pilih bahasa tidak lebih pribadi awat fixed orthodontic molita laku dokter gigi sport tidak harus lebar kurang perlu paham orang tidak maksimal sat didik profesi drgdr after graduate tidak semua sat indonesia dokter dedikasi tingi tingkat mutu sehat bingung dokter malpraktik lulus pas ukdiukdgi uji cbt osce tidak mudah,18,positive,1
bymo pradytiawan,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,16,but gue mbak orang sehat dokter spesialisasi kali mbak rekan jawat kurang latih kasar kurang pintermaf mbak maksud fakta lapang maf,10,positive,1
vindy yustirawati,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,prevy anirtha is is is,0,neutral,2
Anon Im,3 tahun yang lalu,https://youtu.be/a7c8BArQs-s,11,tuju nyata masyarakat nilai pilih dokter baik inti jelek dokter jelek bagus pilih dokter baik baik,3,positive,1
Indah Maharani Nasution,3 tahun yang lalu,https://youtu.be/a7c8BArQs-s,9,ardini safitri tuju alam kurang kompeten harga kualitas beda,5,positive,1
Futzaranny,3 tahun yang lalu,https://youtu.be/a7c8BArQs-s,2,kurang pintar kurang alam dokter korban tidak cocok dokter,-4,negative,0
Miss Kiss,3 tahun yang lalu,https://youtu.be/a7c8BArQs-s,1,mol mg dokter kurang pintar lihat konten lengkap maksud dokter ahli refers to specialist orthodontist tidak rasa mol sudut profesi dokter gigi mol gigi tuju rusak cacat resmi ahli mhn maf salah,-5,negative,0
Thessa Sams,3 tahun yang lalu (diedit),https://youtu.be/a7c8BArQs-s,5,lin dokter kurang pintar alam pasang behel lepas dokter kesini perhati nyata kurang pandai analis gigi tongos cici iya asah tidak cabut tidak ada scaling pasang bracket pasang by the way takut lihat hasil teman rekomen dokter lepas gigi beranta dokter tidak pernah kenal retainer sehinga pikir arti teman pantas saja beranta gigi tidak kasih retainer pindah yoyakarta studi di sini kerja temu dokter di sini sedia terima pasien cek gigi beliau heran pasang bracket gigi turun jenis bracket fashion alias gayan tuju ngerapihin gigi beliau heran tidak ada cabut pasang di atas semetara gigi tongos gigi susunanya beranta ketemu dokter orthodonti teman iseng kondisi gigi dokter gigi rsu scaling gigi komenya kena posisi bracket jenis bracket gigi tidak cabut ohya chat kena retainer dokter sutat rekomendasi pasang retainer dokter saran beli karet kail ganti aneh retainer maksud lepas sara jujur kesal sekian dokter ilfel sesal pasang behel pasang bracket ulang dokter yoyakarta alam bantu memgenai cici molita dokter kurang pintar fakta rekan kalang dokter lihat expert kerja,21,positive,1
Thessa Sams,3 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,zahra tuju,-1,negative,0
Ivon Ajah,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,prevy anirtha savitri dokter mal praktik salah diagnosa salah obat dokter kurang pintar tidak salah,-11,negative,0
Haryagung Yogyasworo,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,sams dijogja dokter kak pasang lepas rapi hasil ubah pasang dokter rekomen k,10,positive,1
ijup hitam,3 tahun yang lalu,https://youtu.be/a7c8BArQs-s,1,wajah cantik pakai gigi behel,2,positive,1
Bludru Merah,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,199,bahas gigi fokus rambut haha,3,positive,1
Annisa Fadhila,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,pakai metal juta pakai rapi pakai retiner,3,positive,1
Korea through your eyes,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,how much did spend in,0,neutral,2
Nanda Maharani,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,1,pasang gigi proses tumbuh tidak ya,5,positive,1
Rindu Terdalam,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,terima kasih kakak info video bermanfat,2,positive,1
FIKA FIKRANEESA,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,71,ampun ci untung dokter gigi tidak mata duit dokter gigi mata duit extracharge pasang tidak disaranin rontgen gigi,2,positive,1
BTS Jikook,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,iya ketawa kak molita gigi lihat adem lihat,10,positive,1
Gustry Nuki,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,ci mol lupa pakai retainer takut adan gigi cici tidak pakai,-5,negative,0
Intan Sakina,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,cepat doang lepas lepas behelnya,-4,negative,0
Viona Clarissa,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,cantik ci,2,positive,1
Elis Chandra,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,kurus ci tirus,-3,negative,0
Shevilla Putri Aziza,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,bantu video,-1,negative,0
Yelishia Tandilisan,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,tidak ci habis lepas behel pakai retainer tidak kalau pakai retainernya permanen lepas pasang habis lepas behel kontrol dokter gigi,1,positive,1
Jessica P,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,7,make up tutorial for this lok please haha,-3,negative,0
Adeline Pamela,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,pakai behel gigi beranta huhu,0,neutral,2
Cania Lorensia,4 tahun yang lalu (diedit),https://youtu.be/a7c8BArQs-s,0,ci mol cici lepas behel pakai retainer tidak soal lepas behel bingung pakai retainer tidak usah pakai,-4,negative,0
Murni Milayani,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,terima kasih for sharing mol love,10,positive,1
jess,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,lihat insta cerita cici eh notifikasi youtubenya ci mol,1,positive,1
Yuyen Lu,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,behelan pakai damon harga juta maintenencenya ribu ci mol bracket lepas hilang biaya ekstra lagibtw pasang behel gingsul habis lepas behel dokter mesti pakai rentainer harga juta orang tidak tahan sakit pakai rentainer pakai malam sisa tidak pakai,-1,negative,0
TRIFITRIYANI TV,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,kak moly kakak tritment wajah tidak sih di sini lihat dagu kakak,3,positive,1
Gity Srinita,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,kim nona in korea think under,-3,negative,0
Olivia Np,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,4,fika fikranesa gantung kak gigi tidak begitu sulit rontgen tidak laksana tidak apa fungsi rontgen tunjang baik laku rontgen adan gigi,3,positive,1
FIKA FIKRANEESA,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,olivia terima kasih via,5,positive,1
Shena emma,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,nta mbadlu psang behelnya di mana gue psang behel alami dokter,-3,negative,0
Hillary Epury,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,3,tidak rontgen cetak gigi dokter gigi,0,neutral,2
bla bla,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,4,rontgen gigi pas kawat kondisi gigi benih gigi di dalam,3,positive,1
Ardini Safitri,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,rontgen dukung lihat bentuk susun tulang gusi rahang,9,positive,1
VR9029,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,6,hai bantu standar prosedur pasang kawat gigi foto rontgen ambil foto panoramik sefalometri tujuanya analisa diagnosa temu foto rontgen ambil foto wajibjibjib dokter tidak perlu pasien waspada dokter analisadiagnosa pakai ahli nujum got anymore questions folow my instagram acount and drop some mesages for more info,-12,negative,0
Kata Siapa,3 tahun yang lalu,https://youtu.be/a7c8BArQs-s,1,vr hai bantu pasang behel tidak di rontgen dokter pas pasang gigi cetak dokter bentuk gigi gigi,14,positive,1
Wildan Apriansah,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,tidak spesialisort dokter gigi,0,neutral,2
23 Abid,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,cetak struktur gigi,3,positive,1
Molita Lin,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,efek pasang behel,7,positive,1
Molita Lin,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,pakai pakai lepas bening,-6,negative,0
clove,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,molita lin mt alamat lengkap dental terima kasih,4,positive,1
upi Yj,3 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,rajin kontrol tidak kalau rajin cepat proses rapi,4,positive,1
Molita Lin,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,pakai,0,neutral,2
Cania Lorensia,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,molita lin ci mol pakai retainer jenis,0,neutral,2
Reski Fitria,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,lurensia harlia tidak geser gigi,0,neutral,2
Yuyen Lu,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,reski fitria tidak geser tidak rapat kayak lepas lurus tidak balik bentuk,3,positive,1
Molita Lin,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,lepas behel dagu lancip tidak treatment,-6,negative,0
TRIFITRIYANI TV,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,okey kakak paham,0,neutral,2
Lingling. Lollipop,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,cantik,2,positive,1
husna syhdh,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,lihat tutorial makeup cantik,5,positive,1
SURS I,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,1,terima kasih for the information c,5,positive,1
Intan Padmasari,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,gigi kayak kaktapi cabut sakit,-13,negative,0
Ai Heres,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,8,video khusus youtube hasil alam alam tarik youtube influencer kak,7,positive,1
Jungshook's YOLO YOLO YOLO YO,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,tidak ci teman pakai behel ganti behel behelnya ganti harga kayak pas pasang behel pas pasang behel harga juta pas ganti depa kena juta,21,positive,1
clarezelle christy1989,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,disingapura metal plus kak mahal,3,positive,1
Devy Shelviana,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,ci dagu di sini lihat lancip,-1,negative,0
Lif. yaaa_,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,sukses ci,3,positive,1
Fauziah Nury,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,12,cantik makeup super flawles,3,positive,1
Ayu Puspa,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,pakai behel pas ubah pas gigi geraham tumbuh tumbuh garapih pergi,4,positive,1
Yully Anna,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,hasil bagus rapi lo gigi,6,positive,1
Mardyatul Ilmy Abidin,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,iya ci mol lepas behel,-2,negative,0
Fanny Esella.c,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,2,aw senyum pepsodent,1,positive,1
Patricia Claudy,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,ci tutorial makeup,0,neutral,2
Joviryoku Ryo,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,terima kasih kak tips,9,positive,1
this is my life. i don't care what u talking about,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,"1,6 rb",video langsung fokus gigi,4,positive,1
Devina Arinda,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,tutorial makeup video,0,neutral,2
Linda Agustin,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,behel mundurin gigi,0,neutral,2
andi baso,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,utari pertiwi giana,0,neutral,2
Derisna Waisa,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,jungshoks yolo yolo yolo iya bantu enggak kok kencang ganti karet bayar mahal,-2,negative,0
Olivia Np,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,ganti behel ganti karet,0,neutral,2
Farhatun Hayati,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,olivia bantu ganti karet ganti karet,-1,negative,0
upi Yj,3 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,enggak sama cabut,-5,negative,0
Ivory Arunna,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,paha ueno me to,0,neutral,2
Amelia Yustika,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,1,haha,0,neutral,2
19.268 Dhifan Dwi R,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,paha ueno anjir,-2,negative,0
Elytamaria yoakim25,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,7,jahahahaha anjir pala gue maju ke depan,-2,negative,0
kemal08 Channel,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,njiuir,0,neutral,2
hitamputih 11,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,yustika anjir,-2,negative,0
ummu w.s,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,samabagus gigi,0,neutral,2
Iruselayani Syuhada,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,haha,0,neutral,2
igba channel,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,tidak sendiri,0,neutral,2
Hanz Bour,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,this is my life do not care bicara about,0,neutral,2
Licht,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,tertawa oi,5,positive,1
Mutia Az Zahra,2 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,samanq,0,neutral,2
elinda putri habsari,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,cantik,2,positive,1
m u t y a r s u s i l o,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,like,0,neutral,2
Yiping Fu,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,haha gigi rapi bagus bejejer rspi putih,-1,negative,0
Rizky p.t Aga,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,ah,0,neutral,2
Alya Nita,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,iya bahas gigi coba make up fokus make up,4,positive,1
Zakarias Tandu,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,yoakim,0,neutral,2
Gunawan Hafiz Januar,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,yaialah bro,0,neutral,2
Linda Novelia,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,linda agustin pakai,0,neutral,2
Olivia Np,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,tidak hanya majukanmundurkan gigi kak gigi rotasi malposisi,0,neutral,2
Linda Agustin,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,linda novelia arti gigi maf tongos masuk pakai behel,1,positive,1
Linda Novelia,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,1,linda agustin iya sis tongos,0,neutral,2
Linda Agustin,4 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,linda novelia mbak pasang behel harga mahal kah,8,positive,1
